	name	openPrice	close	dividend	pricebookvalue	new PE ratio	margin	newevebita	roe
205	Hupsteel	0.77	0.81	0.01	0.607	26.153571428571432	0.05291153415453528	13.232608695652173	0.0
206	ISEC	0.27	0.27	0.008	2.162	17.03439560439561	0.20744680851063826	10.007731958762887	0.0
207	Sincap	0.01	0.01	0.0	0.335	11.97887323943662	0.02445324608231445	-96.61904761904762	0.024051490514905148
208	800 Super	0.71	0.71	0.01	1.461	19.530461538461537	0.04210662693528535	10.307620817843866	0.0477835771520988
209	Amplefield Ltd	0.024	0.023	0.0	0.327	33.95780327868852	0.05456171735241502	24.296	0.007336139506915213
212	TheHourGlass	0.63	0.625	0.02	0.844	7.353659045393859	0.08433853646177883	3.9021500122159787	0.08027329358965771
213	GKE	0.066	0.066	0.006	0.658	-12.588083102493075	-0.04783357625546575	12.006302521008404	-0.0332688231499401
214	Hong Lai Huat	0.225	0.225	0.0	0.364	9.229990757855822	0.1387891226269882	6.342261904761905	0.028819518431706798
216	HC Surgical	0.615	0.6	0.01	5.152	21.438848920863308	0.24836212030970817	13.911111111111111	0.16700040048057668
217	Hong Fok	0.695	0.695	0.01	0.279	2.4288900655572365	1.675397093612707	34.5141857753595	0.08327803861950797
218	Vividthree	0.192	0.193	0.0	2.84	31.91283663366337	0.31317829457364343	17.786561264822133	0.0
219	Swee Hong	0.005	0.006	0.003	1.662	20.673818181818184	0.02054154995331466	11.445121951219512	0.029689608636977057
220	Civmec	0.415	0.42	0.007	1.206	7.4063991552270325	0.03510744782076789	7.095812633073101	0.07634018540910922
221	Singapore-eDev	0.029	0.031	0.0	0.9	-7.90399537037037	-0.22629649030906235	-6.582945736434109	-0.06202440775305097
222	Yeo Hiap Seng	0.93	0.93	0.02	0.857	27.334835276229093	0.055824349941997004	24.286956521739132	0.0
223	Interra Resource	0.035	0.035	0.0	0.554	6.329922839506174	0.16666666666666666	3.727053140096619	0.05174892189746047
224	Dynamic Colours	0.19	0.19	0.015	0.906	11.08175	0.06154898273209095	4.947107438016529	0.05587459258109576
225	Adventus	0.004	0.005	0.0	0.499	-2.628867924528302	-0.866822429906542	-12.258426966292134	-0.16408668730650156
226	Penguin Intl	0.305	0.305	0.004	0.456	9.732152173913043	0.07587420277105784	2.91875	0.029525032092426188
227	UnUsUaL	0.3	0.3	0.0	6.814	26.616724137931037	0.22406799304616573	19.255414012738854	0.0
228	LHT	0.69	0.69	0.05	0.723	4.5691044776119405	0.18736891167560007	4.69964664310954	0.10036200224691048
229	Union Steel	0.45	0.45	0.012	0.265	21.610975609756096	0.012187871581450654	11.136807817589576	0.00868276154171961
230	MindChamps	0.515	0.525	0.0	2.189	25.78048780487805	0.1579454253611557	14.476670870113493	0.04917049770137917
231	China Yuanbang	0.25	0.34	0.002	0.178	12.686021505376345	0.00798283261802575	21.0247693054881	0.0021505127701148094
232	Ban Leong	0.24	0.24	0.005	0.956	5.49012048192771	0.03188424354952302	4.929475587703436	0.0810546875
234	KOP	0.045	0.05	0.009	0.376	-11.469565217391304	-0.17705278592375367	20.833333333333332	-0.026965163019205002
235	SamuderaShipping	0.175	0.182	0.007	0.39	16.07935632183908	0.013992923119341942	6.565997888067582	0.01641022877314004
237	Neo	0.44	0.44	0.01	1.899	14.125054466230937	0.02654099687752978	9.281643472498343	0.056339756965754266
238	Aspen	0.16	0.16	0.0	1.152	5.068349769888232	0.15725806451612903	3.1369311316955297	0.09649790635706129
243	Pacific Star Dev	0.1	0.101	0.0	2.376	17.282760273972606	0.04645243398027362	7.154540893125941	0.022127917550772962
245	Compact Metal	0.024	0.024	0.0	0.734	10.8745344	0.11458428820240169	4.864157993061116	0.04084566872528837
246	Japan Foods	0.44	0.44	0.008	2.294	20.425882352941176	0.055837563451776644	7.247340425531915	0.0
249	AsiaMedic	0.03	0.03	0.001	1.424	-2.789214285714286	-0.2266594711279007	-10.140350877192983	-0.285132382892057
250	Sanli Env	0.23	0.23	0.003	2.369	14.782727272727275	0.05252576024126664	10.396296296296295	0.08061716489874637
251	Dyna-Mac	0.112	0.108	0.015	1.058	-5.414340029397355	-0.18934966137860654	-8.725409836065573	-0.12318928054080154
253	AA	0.02	0.02	0.01	0.515	-7.759694989106754	-0.2571428571428571	11.724517906336088	-0.060474308300395255
254	Overseas Edu	0.32	0.31	0.028	0.912	18.88	0.08188257894104935	8.358266206367473	0.032897592976701556
255	G Invacom	0.029	0.029	0.005	0.103	4.040071794871795	0.012333965844402278	1.210526315789474	0.016342608112638282
256	Aspial	0.2	0.2	0.003	1.134	11.154896313364056	0.038500776225327125	17.833915886796706	0.04312989900746574
257	NeraTel	0.275	0.275	0.01	1.52	11.558943089430896	0.04765330971883994	7.172497965825874	0.054195253981242524
258	Kimly	0.255	0.255	0.007	3.525	13.45975776965265	0.10820434202067158	8.534927157265596	0.11516395599768409
263	Asiatic	0.007	0.007	0.0	0.16	12.523241379310345	0.023602821486706456	8.618367346938776	0.011254851228978008
264	Koh Eco	0.039	0.039	0.0	0.675	10.873631016042781	0.01706152489279523	8.047237076648841	0.025039053782637804
266	CPH	0.008	0.007	0.0	0.776	-3.6153823529411766	-0.49173553719008267	-2.951111111111111	-0.16784203102961917
269	CWX Global	0.003	0.003	0.0	0.14	-3.120016	-0.4032258064516129	9.51865671641791	-0.028538812785388126
270	China Real Estate	0.001	0.002	0.0	0.649	-7.766082788671024	-0.3099257258609048	-2.1798715203426124	-0.044062589997120094
273	ICP Ltd	0.01	0.01	0.0	0.978	-8.364952681388013	-0.9968553459119497	-34.0472972972973	-0.07741147741147741
274	KLW	0.004	0.005	0.0	0.368	-2.9892	-0.27760641579272055	-3.16017316017316	-0.0899640143942423
276	LifeBrandz	0.007	0.007	0.0	1.688	-1.0984473684210525	-0.9318801089918256	-1.102102102102102	-0.7245762711864406
278	New Wave	0.006	0.006	0.0	0.507	-8.495754098360656	-0.06626833242802825	-31.175	-0.04361816231676797
280	Magnus Energy	0.001	0.001	0.0	0.511	-0.8321811594202899	-0.7537239324726912	-5.743190661478599	-0.37574257425742574
281	SinoCloud	0.001	0.001	0.0	0.313	-1.2400927209705372	-0.7373801916932907	26.559322033898304	-0.14668869963137154
283	Fuji Offset	0.255	0.255	0.003	0.456	7.760396341463416	0.3076923076923077	18.866666666666667	0.04109245803056878
284	Second Chance	0.225	0.225	0.003	0.659	28.793516949152544	0.1846057571964956	15.894985808893093	0.019641133193515098
285	ABR	0.76	0.76	0.01	1.6	36.28503562945368	0.03343658168533079	10.658351409978309	0.023021818778367144
288	Noel Gifts Intl	0.215	0.22	0.003	0.648	7.249389067524116	0.11429621462697538	3.396551724137931	0.0
289	Medtecs Intl	0.029	0.029	0.001	0.188	16.77146315789474	0.01114238798967863	9.174242424242424	0.008544702284583558
291	King Wan	0.123	0.133	0.005	0.685	-8.205113074204947	-0.07210191082802547	-20.88515406162465	-0.06079484425349087
292	Teckwah	0.435	0.435	0.005	0.665	11.091075327510916	0.05126196205719402	3.593167701863354	0.04258682412013576
293	Spindex Ind	0.895	0.895	0.03	0.917	6.481305712492153	0.10113643578185512	3.1903448275862067	0.0
294	Colex	0.255	0.25	0.005	0.83	8.494871794871795	0.05541346973572037	2.378086419753086	0.0
295	Vicplas Intl	0.08	0.084	0.005	0.734	14.385925423728816	0.041397698568621945	7.124045801526718	0.03783021287509618
296	Transit Concrete	0.2	0.2	0.01	0.827	-2.472113676731794	-0.3391566265060241	10.842592592592593	-0.2109404271262645
297	IP Softcom	0.008	0.008	0.0	0.078	-1.2513504273504275	-0.14320685434516525	-2.1226415094339623	-0.0855419484554926
299	Santak	0.093	0.093	0.005	0.474	-5.885258823529411	-0.1251840942562592	-4.306666666666667	-0.053916904535363144
300	Progen	0.05	0.045	0.0	0.504	-3.405610465116279	-3.2049689440993787	-5.8343373493975905	-0.1259458140102514
301	OEL	0.006	0.006	0.005	0.601	-8.182897959183673	-0.5157894736842106	38.0	-0.06422018348623854
302	Asian Micro	0.004	0.004	0.001	2.361	-6.402883720930233	-0.09129511677282377	-5.728813559322034	-0.13522012578616352
303	HMI	0.55	0.54	0.003	5.155	23.834580917237748	0.12084341954389094	13.18412613575628	0.11983575489576753
304	Pavillon	0.035	0.035	0.008	0.331	-6.718440594059406	-0.12672521957340024	-27.844827586206893	-0.03146907618009036
